Designator,Mid X,Mid Y,Rotation,Layer
C1,119.0381,-50.92,270.0,top
C10,168.0681,-40.25,180.0,top
C11,119.0056,-92.165001,270.0,top
C12,143.8856,-96.245001,270.0,top
C13,143.8956,-96.225001,90.0,bottom
C14,145.8656,-96.230001,90.0,bottom
C15,147.7556,-96.225001,90.0,bottom
C16,168.148,-111.506,180.0,top
C17,174.0956,-96.524999,90.0,bottom
C18,176.1456,-96.524999,90.0,bottom
C19,178.3056,-96.544999,90.0,bottom
C2,143.9181,-55.0,270.0,top
C20,179.6356,-96.4925,270.0,top
C21,182.2381,-70.81,0.0,bottom
C22,185.6181,-79.78,180.0,bottom
C23,189.7281,-73.75,90.0,bottom
C24,177.9581,-75.0,90.0,bottom
C3,143.9281,-54.98,90.0,bottom
C4,145.8981,-54.985,90.0,bottom
C5,147.7881,-54.98,90.0,bottom
C6,174.1281,-55.28,90.0,bottom
C7,176.1781,-55.28,90.0,bottom
C8,178.3381,-55.3,90.0,bottom
C9,179.6681,-55.2475,270.0,top
D1,188.0181,-61.37,180.0,top
D2,187.7781,-91.83,0.0,top
F1,117.25,-69.77,90.0,top
F2,111.48,-104.06,0.0,top
J1,98.5,-74.815,270.0,top
J2,206.36,-55.82,90.0,top
J3,206.4,-98.81,90.0,top
L1,138.7581,-64.561,90.0,top
L2,138.7581,-49.531,90.0,top
L3,138.7256,-105.806,90.0,top
L4,138.7256,-90.776001,90.0,top
M1,188.8281,-64.93,0.0,bottom
M2,185.0081,-86.31,180.0,bottom
R1,119.0181,-59.04,90.0,top
R10,188.9281,-67.64,0.0,bottom
R11,183.4981,-61.37,0.0,bottom
R12,188.5881,-73.76,90.0,bottom
R13,190.7631,-76.03,0.0,bottom
R14,190.7531,-77.79,180.0,bottom
R15,181.4181,-83.7,180.0,bottom
R16,185.0181,-83.7,180.0,bottom
R17,194.5981,-76.85,90.0,bottom
R18,177.3581,-79.78,90.0,bottom
R19,179.2281,-75.01,90.0,bottom
R20,179.2381,-79.785,90.0,bottom
R5,118.9856,-100.285,90.0,top
R9,189.7381,-70.65,90.0,bottom
U1,160.4181,-55.275,90.0,top
U2,160.3856,-96.52,90.0,top
U3,183.9381,-75.05,0.0,bottom
